StartTime: 2021-08-30 17:22:21.033
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP
COM11	 17:30:10.840	0.6836	0.5952	0.4951	-28.6865	16.2964	13.3057	48.7079	-39.0564	130.3967	34.4000	170	-307	100	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.840	0.6729	0.6030	0.4844	-28.6865	16.2964	13.3057	48.7079	-39.0564	130.3967	34.0800	169	-306	98	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.843	0.3901	0.6533	0.5615	-25.8789	3.8452	8.5449	53.0750	-22.5000	124.0576	33.5800	161	-358	124	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.844	0.3877	0.6514	0.5698	-25.8789	3.8452	8.5449	52.7948	-22.5549	124.2499	33.5100	160	-358	123	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.847	0.3877	0.6514	0.5698	-25.2075	3.3569	8.6670	52.6630	-22.5824	124.3488	33.5100	160	-358	123	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.848	0.6685	0.6006	0.4810	-30.5786	17.0898	12.0850	48.2465	-39.0509	130.7098	34.4000	169	-306	97	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.848	0.6597	0.5942	0.4790	-30.5786	17.0898	12.0850	48.2465	-39.0509	130.7098	34.3300	169	-306	97	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.850	0.5913	0.5137	0.6777	-18.2495	-15.6860	17.7612	43.5333	-36.6724	132.3029	33.1300	102	-375	65	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.850	0.6597	0.5942	0.4790	-31.3721	17.2119	10.9253	48.0157	-39.0399	130.8636	34.3300	169	-307	96	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.854	0.5977	0.5166	0.6685	-14.7705	-14.2212	17.2729	43.5333	-36.6724	132.3029	33.3200	101	-375	65	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.854	0.6533	0.5811	0.4805	-31.3721	17.2119	10.9253	47.7850	-39.0234	131.0065	34.0200	169	-307	96	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM13	 17:30:10.857	0.3818	0.6475	0.5928	-23.6816	1.4038	8.9722	52.4048	-22.6538	124.5300	33.5100	159	-359	122	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.857	0.6533	0.5811	0.4805	-32.3486	17.2729	8.6060	47.7850	-39.0234	131.0065	34.0200	168	-307	95	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.866	0.6016	0.5205	0.6509	-13.4888	-13.1836	13.7329	43.4454	-36.7767	132.3633	33.1300	101	-375	64	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.866	0.5962	0.5137	0.6436	-13.6108	-12.9395	11.7188	43.4454	-36.7767	132.3633	33.2000	99	-376	63	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.867	0.5962	0.5137	0.6436	-14.2212	-12.6343	9.8877	43.1433	-37.1228	132.5665	33.2000	99	-376	63	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.867	0.6533	0.5811	0.4805	-32.4707	17.5171	7.3242	47.3291	-38.9795	131.2866	34.0200	168	-307	94	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.873	0.6436	0.5322	0.4893	-32.2266	18.1274	6.1035	47.1039	-38.9465	131.4185	34.1400	168	-307	91	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.874	0.5962	0.5137	0.6436	-14.2212	-12.6343	9.8877	43.1433	-37.1228	132.5665	33.2000	99	-375	62	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
